Basics:
Snow-Covered Forest | ['Forest'] | ({T}: Add {G}.)
Stone Quarry | [] | This land enters tapped. {T}: Add {R} or {W}.
Study | [] | This land enters tapped. {T}: Add {W} or {U}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Submerged Boneyard | [] | This land enters tapped. {T}: Add {U} or {B}.
Tanglepool Bridge | [] | This land enters tapped. Indestructible {T}: Add {G} or {U}.
Temple of Abandon | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {R} or {G}.
Temple of Deceit | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {U} or {B}.
Temple of Enlightenment | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {W} or {U}.
Temple of Epiphany | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {U} or {R}.
Temple of Malady | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {B} or {G}.
Temple of Malice | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {B} or {R}.
Temple of Mystery | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {G} or {U}.
Temple of Plenty | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {G} or {W}.
Temple of Silence | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {W} or {B}.
Temple of Triumph | [] | This land enters tapped. When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.) {T}: Add {R} or {W}.
Thornglint Bridge | [] | This land enters tapped. Indestructible {T}: Add {G} or {W}.
Timber Gorge | [] | This land enters tapped. {T}: Add {R} or {G}.
Tramway Station | [] | This land enters tapped. {T}: Add {B} or {R}. {2}{B}{R}, {T}, Sacrifice this land: Draw a card.
Tranquil Expanse | [] | This land enters tapped. {T}: Add {G} or {W}.
Tresserhorn Sinks | [] | This land enters tapped. {T}: Add {B} or {R}.
Urborg Volcano | [] | This land enters tapped. {T}: Add {B} or {R}.
Wandering Fumarole | [] | This land enters tapped. {T}: Add {U} or {R}. {2}{U}{R}: Until end of turn, this land becomes a 1/4 blue and red Elemental creature with "{0}: Switch this creature's power and toughness until end of turn." It's still a land.
Waterfront District | [] | This land enters tapped. {T}: Add {U} or {B}. {2}{U}{B}, {T}, Sacrifice this land: Draw a card.
Witherbloom Campus | [] | This land enters tapped. {T}: Add {B} or {G}. {4}, {T}: Scry 1.
Woodland Stream | [] | This land enters tapped. {T}: Add {G} or {U}.

///Non-Cycle Non-Irrelevent (includes some bad filters)
Gemstone Mine | [] | This land enters with three mining counters on it. {T}, Remove a mining counter from this land: Add one mana of any color. If there are no mining counters on this land, sacrifice it.
Crystal Vein | [] | {T}: Add {C}. {T}, Sacrifice this land: Add {C}{C}.
Tarnation Vista | [] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color. {1}, {T}: For each color among monocolored permanents you control, add one mana of that color.
Scene of the Crime | ['Clue'] | This land enters tapped. {T}: Add {C}. {T}, Tap an untapped creature you control: Add one mana of any color. {2}, Sacrifice this land: Draw a card.
Cabal Coffers | [] | {2}, {T}: Add {B} for each Swamp you control.
Cabal Stronghold | [] | {T}: Add {C}. {3}, {T}: Add {B} for each basic Swamp you control.
Branch of Vitu-Ghazi | [] | {T}: Add {C}. Disguise {3} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.) When this land is turned face up, add two mana of any one color. Until end of turn, you don't lose this mana as steps and phases end.
Blighted Woodland | [] | {T}: Add {C}. {3}{G}, {T}, Sacrifice this land: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Night Market | [] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color. Cycling {3} ({3}, Discard this card: Draw a card.)
Baldur's Gate | ['Gate'] | {T}: Add {C}. {2}, {T}: Add X mana of any one color, where X is the number of other Gates you control.
Auntie's Hovel | [] | As this land enters, you may reveal a Goblin card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {R}.
Fortified Beachhead | [] | As this land enters, you may reveal a Soldier card from your hand. This land enters tapped unless you revealed a Soldier card this way or you control a Soldier. {T}: Add {W} or {U}. {5}, {T}: Soldiers you control get +1/+1 until end of turn.
Rustic Clachan | [] | As this land enters, you may reveal a Kithkin card from your hand. If you don't, this land enters tapped. {T}: Add {W}. Reinforce 1—{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)
Secluded Glen | [] | As this land enters, you may reveal a Faerie card from your hand. If you don't, this land enters tapped. {T}: Add {U} or {B}.
Temple of the Dragon Queen | [] | As this land enters, you may reveal a Dragon card from your hand. This land enters tapped unless you revealed a Dragon card this way or you control a Dragon. As this land enters, choose a color. {T}: Add one mana of the chosen color.
Wanderwine Hub | [] | As this land enters, you may reveal a Merfolk card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {U}.
Ash Barrens | [] | {T}: Add {C}. Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
Archaeological Dig | [] | {T}: Add {C}. {T}, Sacrifice this land: Add one mana of any color.
Ancient Tomb | [] | {T}: Add {C}{C}. This land deals 2 damage to you.
Aether Hub | [] | When this land enters, you get {E} (an energy counter). {T}: Add {C}. {T}, Pay {E}: Add one mana of any color.
Murmuring Bosk | ['Forest'] | ({T}: Add {G}.) As this land enters, you may reveal a Treefolk card from your hand. If you don't, this land enters tapped. {T}: Add {W} or {B}. This land deals 1 damage to you.
Crucible of the Spirit Dragon | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {T}, Remove X storage counters from this land: Add X mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.
Nearby Planet | [] | Rangeling (This card is every land type, including Plains, Island, Swamp, Mountain, Forest, Desert, Gate, Lair, Locus, and all those Urza's ones.) This land enters tapped. When this land enters, sacrifice it unless you pay {1}.
Vesuva | [] | You may have this land enter tapped as a copy of any land on the battlefield.
Urborg, Tomb of Yawgmoth | [] | Each land is a Swamp in addition to its other land types.
Yavimaya, Cradle of Growth | [] | Each land is a Forest in addition to its other land types.
Crumbling Vestige | [] | This land enters tapped. When this land enters, add one mana of any color. {T}: Add {C}. ({C} represents colorless mana.)
Great Hall of the Citadel | [] | {T}: Add {C}. {1}, {T}: Add two mana in any combination of colors. Spend this mana only to cast legendary spells.
Heap Gate | ['Gate'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {1}, {T}, Tap an untapped Gate you control: Create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")
Henge of Ramos | [] | {T}: Add {C}. {2}, {T}: Add one mana of any color.
Hidden Grotto | [] | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Krosan Verge | [] | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle.
Myriad Landscape | [] | This land enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle.
Nykthos, Shrine to Nyx | [] | {T}: Add {C}. {2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)
Shimmering Grotto | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color.
Shire Terrace | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Study Hall | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. When you spend this mana to cast your commander, scry X, where X is the number of times it's been cast from the command zone this game.
Terrain Generator | [] | {T}: Add {C}. {2}, {T}: You may put a basic land card from your hand onto the battlefield tapped.
Three Tree City | [] | As Three Tree City enters, choose a creature type. {T}: Add {C}. {2}, {T}: Choose a color. Add an amount of mana of that color equal to the number of creatures you control of the chosen type.
Unknown Shores | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color.
Warped Landscape | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Ancient Amphitheater | [] | As this land enters, you may reveal a Giant card from your hand. If you don't, this land enters tapped. {T}: Add {R} or {W}.
Gilt-Leaf Palace | [] | As this land enters, you may reveal an Elf card from your hand. If you don't, this land enters tapped. {T}: Add {B} or {G}.
Crypt of Agadeem | [] | This land enters tapped. {T}: Add {B}. {2}, {T}: Add {B} for each black creature card in your graveyard.
Gaea's Cradle | [] | {T}: Add {G} for each creature you control.
Serra's Sanctum | [] | {T}: Add {W} for each enchantment you control.
Tolarian Academy | [] | {T}: Add {U} for each artifact you control.


Controversials:
Remote Farm | [] | This land enters tapped with two depletion counters on it. {T}, Remove a depletion counter from this land: Add {W}{W}. If there are no depletion counters on this land, sacrifice it.
Cryptic Spires | [] | As you create your deck, circle two of the colors below. Cryptic Spires enters tapped. {T}: Add one mana of either of the circled colors.
City of Traitors | [] | When you play another land, sacrifice this land. {T}: Add {C}{C}.
Heart of Yavimaya | [] | If this land would enter, sacrifice a Forest instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {G}. {T}: Target creature gets +1/+1 until end of turn.
Kjeldoran Outpost | [] | If this land would enter, sacrifice a Plains instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {W}. {1}{W}, {T}: Create a 1/1 white Soldier creature token.
Lake of the Dead | [] | If this land would enter, sacrifice a Swamp instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {B}. {T}, Sacrifice a Swamp: Add {B}{B}{B}{B}.
Lotus Vale | [] | If this land would enter, sacrifice two untapped lands instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add three mana of any one color.
Scorched Ruins | [] | If this land would enter, sacrifice two untapped lands instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {C}{C}{C}{C}.
Balduvian Trading Post | [] | If this land would enter, sacrifice an untapped Mountain instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {C}{R}. {1}, {T}: This land deals 1 damage to target attacking creature.
Soldevi Excavations | [] | If this land would enter, sacrifice an untapped Island instead. If you do, put this land onto the battlefield. If you don't, put it into its owner's graveyard. {T}: Add {C}{U}. {1}, {T}: Scry 1.
Archway of Innovation | [] | This land enters tapped unless you control an Island. {T}: Add {U}. {U}, {T}: The next spell you cast this turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)
Isolated Watchtower | [] | {T}: Add {C}. {2}, {T}: Scry 1, then you may reveal the top card of your library. If a basic land card is revealed this way, put it onto the battlefield tapped. Activate only if an opponent controls at least two more lands than you.
Maze's End | [] | This land enters tapped. {T}: Add {C}. {3}, {T}, Return this land to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game.
Urza's Fun House | ["Urza's"] | {T}: Add {C}. {T}: Add {∞}. Activate only once and only if you control an Urza's Mine, an Urza's Power-Plant, and an Urza's Tower. {7}, {T}: Head to AskUrza.com and click Urza's Fun House.
City of Ass | [] | This land enters tapped. {T}: Add one and one-half mana of any one color.

Bad filters:
Crypt of the Eternals | [] | When this land enters, you gain 1 life. {T}: Add {C}. {1}, {T}: Add {U}, {B}, or {R}.
Crystal Quarry | [] | {T}: Add {C}. {5}, {T}: Add {W}{U}{B}{R}{G}.
Abstergo Entertainment | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {3}, {T}, Exile Abstergo Entertainment: Return up to one target historic card from your graveyard to your hand, then exile all graveyards. (Artifacts, legendaries, and Sagas are historic.)
Capital City | ['Town'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. Cycling {2} ({2}, Discard this card: Draw a card.)
Captivating Cave | ['Cave'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.
Cave of Temptation | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.
Conduit Pylons | ['Desert'] | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Crystal Grotto | [] | When this land enters, scry 1. {T}: Add {C}. {1}, {T}: Add one mana of any color.
Guildmages' Forum | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. If that mana is spent on a multicolored creature spell, that creature enters with an additional +1/+1 counter on it.
Hall of Oracles | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {T}: Put a +1/+1 counter on target creature. Activate only as a sorcery and only if you've cast an instant or sorcery spell this turn.
Hall of Tagsin | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}: Create a tapped Powerstone token. (It's an artifact with "{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.")
Opal Palace | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color in your commander's color identity. If you spend this mana to cast your commander, it enters with a number of additional +1/+1 counters on it equal to the number of times it's been cast from the command zone this game.
Painted Bluffs | ['Desert'] | {T}: Add {C}. {1}, {T}: Add one mana of any color.
Planar Nexus | [] | This land is every nonbasic land type. (Nonbasic land types include Cave, Desert, Gate, Lair, Locus, Mine, Power-Plant, Sphere, Tower, and Urza's.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Talon Gates of Madara | ['Gate'] | When this land enters, up to one target creature phases out. {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}: Put this card from your hand onto the battlefield.
The Mycosynth Gardens | ['Sphere'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {X}, {T}: This land becomes a copy of target nontoken artifact you control with mana value X.

Lands with use restrictions on mana:
Ally Encampment | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Ally spell. {1}, {T}, Sacrifice this land: Return target Ally you control to its owner's hand.
Ancient Ziggurat | [] | {T}: Add one mana of any color. Spend this mana only to cast a creature spell.
Base Camp | [] | This land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Cleric, Rogue, Warrior, or Wizard spell or to activate an ability of a Cleric, Rogue, Warrior, or Wizard.
Brotherhood Headquarters | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Assassin spell or a spell that has freerunning, or to activate an ability of an Assassin source.
Bucolic Ranch | ['Desert'] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Mount spell. {3}, {T}: Look at the top card of your library. If it's a Mount card, you may reveal it and put it into your hand. If you don't put it into your hand, you may put it on the bottom of your library.
Cavern of Souls | [] | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.
Corrupted Crossroads | [] | {T}: Add {C}. ({C} represents colorless mana.) {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a spell with devoid.
Eldrazi Temple | [] | {T}: Add {C}. {T}: Add {C}{C}. Spend this mana only to cast colorless Eldrazi spells or activate abilities of colorless Eldrazi.
Gallifrey Council Chamber | [] | When Gallifrey Council Chamber enters, surveil 1. (Look at the top card of your library. You may put that card into your graveyard.) {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Time Lord or Alien spell or activate an ability of a Time Lord or Alien.
Haven of the Spirit Dragon | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Dragon creature spell. {2}, {T}, Sacrifice this land: Return target Dragon creature card or Ugin planeswalker card from your graveyard to your hand.
Interplanar Beacon | [] | Whenever you cast a planeswalker spell, you gain 1 life. {T}: Add {C}. {1}, {T}: Add two mana of different colors. Spend this mana only to cast planeswalker spells.
Lilypad Village | [] | {T}: Add {C}. {T}: Add {U}. Spend this mana only to cast a creature spell. {U}, {T}: Surveil 2. Activate only if a Bird, Frog, Otter, or Rat entered the battlefield under your control this turn.
Lupinflower Village | [] | {T}: Add {C}. {T}: Add {W}. Spend this mana only to cast a creature spell. {1}{W}, {T}, Sacrifice this land: Look at the top six cards of your library. You may reveal a Bat, Bird, Mouse, or Rabbit card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Maelstrom of the Spirit Dragon | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Dragon spell or an Omen spell. {4}, {T}, Sacrifice this land: Search your library for a Dragon card, reveal it, put it into your hand, then shuffle.
Mech Hangar | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Pilot or Vehicle spell. {3}, {T}: Target Vehicle becomes an artifact creature until end of turn.
Mishra's Workshop | [] | {T}: Add {C}{C}{C}. Spend this mana only to cast artifact spells.
Mudflat Village | [] | {T}: Add {C}. {T}: Add {B}. Spend this mana only to cast a creature spell. {1}{B}, {T}, Sacrifice this land: Return target Bat, Lizard, Rat, or Squirrel card from your graveyard to your hand.
Oakhollow Village | [] | {T}: Add {C}. {T}: Add {G}. Spend this mana only to cast a creature spell. {G}, {T}: Put a +1/+1 counter on each Frog, Rabbit, Raccoon, or Squirrel you control that entered the battlefield this turn.
Pillar of the Paruns | [] | {T}: Add one mana of any color. Spend this mana only to cast a multicolored spell.
Plaza of Heroes | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a legendary spell. {T}: Add one mana of any color among legendary permanents you control. {3}, {T}, Exile this land: Target legendary creature gains hexproof and indestructible until end of turn.
Power Depot | [] | This land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast artifact spells or activate abilities of artifacts. Modular 1
Primal Beyond | [] | As this land enters, you may reveal an Elemental card from your hand. If you don't, this land enters tapped. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Elemental spell or activate an ability of an Elemental.
Rockface Village | [] | {T}: Add {C}. {T}: Add {R}. Spend this mana only to cast a creature spell. {R}, {T}: Target Lizard, Mouse, Otter, or Raccoon you control gets +1/+0 and gains haste until end of turn. Activate only as a sorcery.
Secluded Courtyard | [] | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability of a creature source of the chosen type.
Secret Base | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a spell that shares a watermark with this land.
Shrine of the Forsaken Gods | [] | {T}: Add {C}. {T}: Add {C}{C}. Spend this mana only to cast colorless spells. Activate only if you control seven or more lands.
Sliver Hive | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Sliver spell. {5}, {T}: Create a 1/1 colorless Sliver creature token. Activate only if you control a Sliver.
The Seedcore | ['Sphere'] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast Phyrexian creature spells. Corrupted — {T}: Target 1/1 creature gets +2/+1 until end of turn. Activate only if an opponent has three or more poison counters.
Throne of Makindi | [] | {T}: Add {C}. {1}, {T}: Put a charge counter on this land. {T}, Remove a charge counter from this land: Add two mana of any one color. Spend this mana only to cast kicked spells.
Tournament Grounds | [] | {T}: Add {C}. {T}: Add {R}, {W}, or {B}. Spend this mana only to cast a Knight or Equipment spell.
Unclaimed Territory | [] | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type.
Untaidake, the Cloud Keeper | [] | Untaidake enters tapped. {T}, Pay 2 life: Add {C}{C}. Spend this mana only to cast legendary spells.
Voldaren Estate | [] | {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a Vampire spell. {5}, {T}: Create a Blood token. This ability costs {1} less to activate for each Vampire you control. (It's an artifact with "{1}, {T}, Discard a card, Sacrifice this token: Draw a card.")
Watermarket | [] | {T}: Add {C}{C}. Spend this mana only to cast spells with watermarks.

Probably worse than basics (Enters tapped, adds a single colour, doesn't add antything else)
Axgard Armory | [] | This land enters tapped. {T}: Add {W}. {1}{R}{R}{W}, {T}, Sacrifice this land: Search your library for an Aura card and/or an Equipment card, reveal them, put them into your hand, then shuffle.
Barren Moor | [] | This land enters tapped. {T}: Add {B}. Cycling {B} ({B}, Discard this card: Draw a card.)
Bretagard Stronghold | [] | This land enters tapped. {T}: Add {G}. {G}{W}{W}, {T}, Sacrifice this land: Put a +1/+1 counter on each of up to two target creatures you control. They gain vigilance and lifelink until end of turn. Activate only as a sorcery.
Dakmor Salvage | [] | This land enters tapped. {T}: Add {B}. Dredge 2 (If you would draw a card, you may mill two cards instead. If you do, return this card from your graveyard to your hand.)
Desert of the Fervent | ['Desert'] | This land enters tapped. {T}: Add {R}. Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)
Desert of the Glorified | ['Desert'] | This land enters tapped. {T}: Add {B}. Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)
Desert of the Indomitable | ['Desert'] | This land enters tapped. {T}: Add {G}. Cycling {1}{G} ({1}{G}, Discard this card: Draw a card.)
Desert of the Mindful | ['Desert'] | This land enters tapped. {T}: Add {U}. Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
Desert of the True | ['Desert'] | This land enters tapped. {T}: Add {W}. Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
Drifting Meadow | [] | This land enters tapped. {T}: Add {W}. Cycling {2} ({2}, Discard this card: Draw a card.)
Faerie Conclave | [] | This land enters tapped. {T}: Add {U}. {1}{U}: This land becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.
Forgotten Cave | [] | This land enters tapped. {T}: Add {R}. Cycling {R} ({R}, Discard this card: Draw a card.)
Gates of Istfell | [] | This land enters tapped. {T}: Add {W}. {2}{W}{U}{U}, {T}, Sacrifice this land: You gain 2 life and draw two cards.
Ghitu Encampment | [] | This land enters tapped. {T}: Add {R}. {1}{R}: This land becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)
Gnottvold Slumbermound | [] | This land enters tapped. {T}: Add {R}. {3}{R}{G}{G}, {T}, Sacrifice this land: Destroy target land. Create a 4/4 green Troll Warrior creature token with trample.
Great Hall of Starnheim | [] | This land enters tapped. {T}: Add {B}. {W}{W}{B}, {T}, Sacrifice this land and a creature you control: Create a 4/4 white Angel Warrior creature token with flying and vigilance. Activate only as a sorcery.
Hidden Cataract | ['Cave'] | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Courtyard | ['Cave'] | This land enters tapped. {T}: Add {W}. {4}{W}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Necropolis | ['Cave'] | This land enters tapped. {T}: Add {B}. {4}{B}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Nursery | ['Cave'] | This land enters tapped. {T}: Add {G}. {4}{G}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Hidden Volcano | ['Cave'] | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland card with mana value 4 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Immersturm Skullcairn | [] | This land enters tapped. {T}: Add {B}. {1}{B}{R}{R}, {T}, Sacrifice this land: It deals 3 damage to target player. That player discards a card. Activate only as a sorcery.
Ishgard, the Holy See // Faith & Grief | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {W}. // Return up to two target artifact and/or enchantment cards from your graveyard to your hand. (Then exile this card. You may play the land later from exile.)
Jidoor, Aristocratic Capital // Overture | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {U}. // Target opponent mills half their library, rounded down. (Then exile this card. You may play the land later from exile.)
Keldon Megaliths | [] | This land enters tapped. {T}: Add {R}. Hellbent — {1}{R}, {T}: This land deals 1 damage to any target. Activate only if you have no cards in hand.
Lindblum, Industrial Regency // Mage Siege | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {R}. // Create a 0/1 black Wizard creature token with "Whenever you cast a noncreature spell, this token deals 1 damage to each opponent."
Littjara Mirrorlake | [] | This land enters tapped. {T}: Add {U}. {2}{G}{G}{U}, {T}, Sacrifice this land: Create a token that's a copy of target creature you control, except it enters with an additional +1/+1 counter on it. Activate only as a sorcery.
Llanowar Reborn | [] | This land enters tapped. {T}: Add {G}. Graft 1 (This land enters with a +1/+1 counter on it. Whenever a creature enters, you may move a +1/+1 counter from this land onto it.)
Lonely Sandbar | [] | This land enters tapped. {T}: Add {U}. Cycling {U} ({U}, Discard this card: Draw a card.)
Magosi, the Waterveil | [] | This land enters tapped. {T}: Add {U}. {U}, {T}: Put an eon counter on this land. Skip your next turn. {T}, Remove an eon counter from this land and return it to its owner's hand: Take an extra turn after this one.
Memorial to Folly | [] | This land enters tapped. {T}: Add {B}. {2}{B}, {T}, Sacrifice this land: Return target creature card from your graveyard to your hand.
Memorial to Genius | [] | This land enters tapped. {T}: Add {U}. {4}{U}, {T}, Sacrifice this land: Draw two cards.
Memorial to Glory | [] | This land enters tapped. {T}: Add {W}. {3}{W}, {T}, Sacrifice this land: Create two 1/1 white Soldier creature tokens.
Memorial to Unity | [] | This land enters tapped. {T}: Add {G}. {2}{G}, {T}, Sacrifice this land: Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Then put the rest on the bottom of your library in a random order.
Memorial to War | [] | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Destroy target land.
Midgar, City of Mako // Reactor Raid | {'Adventure', 'Town'} | This land enters tapped. {T}: Add {B}. // You may sacrifice an artifact or creature. If you do, draw two cards. (Then exile this card. You may play the land later from exile.)
Okina, Temple to the Grandfathers | [] | {T}: Add {G}. {G}, {T}: Target legendary creature gets +1/+1 until end of turn.
Oran-Rief, the Vastwood | [] | This land enters tapped. {T}: Add {G}. {T}: Put a +1/+1 counter on each green creature that entered this turn.
Polluted Mire | [] | This land enters tapped. {T}: Add {B}. Cycling {2} ({2}, Discard this card: Draw a card.)
Port of Karfell | [] | This land enters tapped. {T}: Add {U}. {3}{U}{B}{B}, {T}, Sacrifice this land: Mill four cards, then return a creature card from your graveyard to the battlefield tapped. (To mill a card, put the top card of your library into your graveyard.)
Remote Isle | [] | This land enters tapped. {T}: Add {U}. Cycling {2} ({2}, Discard this card: Draw a card.)
Secluded Steppe | [] | This land enters tapped. {T}: Add {W}. Cycling {W} ({W}, Discard this card: Draw a card.)
Skemfar Elderhall | [] | This land enters tapped. {T}: Add {G}. {2}{B}{B}{G}, {T}, Sacrifice this land: Up to one target creature you don't control gets -2/-2 until end of turn. Create two 1/1 green Elf Warrior creature tokens. Activate only as a sorcery.
Slippery Karst | [] | This land enters tapped. {T}: Add {G}. Cycling {2} ({2}, Discard this card: Draw a card.)
